Date,Positive_Count_cases,Temperature,Rainfall,Humidity,WindSpeed
5/1/2021,2,30.5,0.2,56,10.0
5/2/2021,9,30.3,1.8,51,8.7
5/3/2021,2,29.2,10.8,67,7.8
5/4/2021,9,30.2,0.7,60,12.5
5/5/2021,7,30.8,2.7,57,9.8
5/6/2021,8,29.9,7.9,64,8.8
5/7/2021,3,29.3,10.1,72,6.0
5/8/2021,4,26.2,50.2,87,5.6
5/9/2021,7,27.2,0.5,80,4.7
5/10/2021,1,27.0,8.9,83,4.2
5/11/2021,2,25.9,4.9,82,8.9
5/12/2021,4,28.7,2.4,81,5.0
5/13/2021,8,28.7,1.0,77,9.3
5/14/2021,6,28.5,0.1,73,9.9
5/15/2021,3,28.2,0.1,68,10.0
5/16/2021,5,29.3,0.0,62,8.6
5/17/2021,4,30.2,0.0,53,9.5
5/18/2021,3,31.1,0.0,46,11.8
5/19/2021,4,29.9,0.6,60,9.3
5/20/2021,6,31.5,0.0,57,5.2
5/21/2021,13,30.6,0.0,44,13.7
5/22/2021,14,30.2,0.0,39,13.7
5/23/2021,33,31.1,0.0,40,9.5
5/24/2021,21,30.2,0.4,50,12.0
5/25/2021,34,29.3,1.0,49,12.5
5/26/2021,50,29.2,0.0,41,15.7
5/27/2021,39,28.7,0.0,38,15.3
5/28/2021,57,29.0,0.0,41,13.9
5/29/2021,85,29.2,0.0,42,17.6
5/30/2021,38,28.7,0.0,41,19.5
5/31/2021,81,28.6,0.0,38,19.0
6/1/2021,58,28.0,0.0,42,21.0
6/2/2021,82,28.5,0.0,39,16.5
6/3/2021,100,29.8,0.0,40,11.1
6/4/2021,64,30.3,0.1,39,12.5
6/5/2021,73,28.6,0.0,38,19.2
6/6/2021,66,28.8,0.0,37,18.1
6/7/2021,84,28.9,0.0,37,15.8
6/8/2021,61,27.5,0.0,37,21.5
6/9/2021,84,27.3,0.0,39,21.2
6/10/2021,70,28.6,0.0,43,14.4
6/11/2021,66,28.8,0.0,41,18.9
6/12/2021,44,28.2,0.0,39,21.4
6/13/2021,29,28.0,0.0,39,19.0
6/14/2021,58,28.8,0.0,36,12.4
6/15/2021,71,29.7,0.0,43,12.4
6/16/2021,55,30.0,0.0,38,10.6
6/17/2021,57,29.9,0.0,40,11.1
6/18/2021,32,29.4,0.4,53,11.6
6/19/2021,42,29.3,0.0,47,10.8
6/20/2021,20,28.5,0.0,40,11.2
6/21/2021,45,27.3,0.0,37,13.4
6/22/2021,53,27.0,0.0,38,18.4
6/23/2021,71,27.2,0.0,42,17.6
6/24/2021,40,27.0,0.0,42,15.2
6/25/2021,43,27.7,0.0,38,15.3
6/26/2021,22,27.9,0.0,37,16.1
6/27/2021,15,27.0,0.0,38,22.1
6/28/2021,19,26.0,0.0,39,23.3
6/29/2021,24,27.4,0.0,41,16.7
6/30/2021,21,28.8,1.2,45,8.5
7/1/2021,13,29.1,0.2,53,6.0
7/2/2021,15,29.3,0.0,37,10.0
7/3/2021,25,29.5,0.0,36,11.4
7/4/2021,15,28.6,0.0,36,14.4
7/5/2021,6,28.2,0.0,36,18.3
7/6/2021,22,27.6,0.3,44,15.0
7/7/2021,10,24.8,3.3,68,11.6
7/8/2021,13,26.7,0.5,60,9.0
7/9/2021,33,28.0,1.0,57,8.5
7/10/2021,23,27.6,0.2,51,11.4
7/11/2021,37,29.2,0.1,46,7.9
7/12/2021,60,28.8,0.4,51,10.3
7/13/2021,63,28.1,0.3,55,11.0
7/14/2021,55,27.7,4.7,66,6.0
7/15/2021,60,27.7,0.1,56,9.2
7/16/2021,52,28.1,0.0,48,11.7
7/17/2021,57,28.8,0.2,51,8.6
7/18/2021,47,27.4,0.5,59,5.6
7/19/2021,48,27.5,0.8,56,10.3
7/20/2021,25,27.1,2.7,60,10.5
7/21/2021,38,26.9,0.5,59,12.8
7/22/2021,47,29.1,0.3,45,10.3
7/23/2021,44,30.2,0.9,43,7.4
7/24/2021,37,25.7,6.1,76,8.7
7/25/2021,40,23.5,0.5,75,10.5
7/26/2021,56,25.4,0.0,66,9.1
7/27/2021,76,26.1,0.0,57,8.4
7/28/2021,96,26.3,0.0,49,10.7
7/29/2021,94,27.4,0.0,45,8.9
7/30/2021,128,27.9,0.0,40,15.8
7/31/2021,176,27.8,0.1,37,17.3
8/1/2021,141,27.9,0.0,35,16.1
8/2/2021,206,26.3,0.0,41,15.8
8/3/2021,242,27.7,0.0,35,16.8
8/4/2021,213,27.9,0.0,34,20.3
8/5/2021,242,27.4,0.0,37,19.2
8/6/2021,209,27.6,0.0,36,18.6
8/7/2021,248,27.5,0.0,38,18.7
8/8/2021,156,29.0,0.0,38,11.3
8/9/2021,251,28.9,1.7,55,12.4
8/10/2021,282,28.7,9.9,67,8.0
8/11/2021,230,27.8,8.8,74,8.0
8/12/2021,232,28.0,0.3,65,9.7
8/13/2021,256,28.7,0.1,52,9.8
8/14/2021,285,29.5,0.3,46,9.6
8/15/2021,128,28.1,0.6,60,8.8
8/16/2021,271,28.2,0.2,53,11.9
8/17/2021,264,27.9,0.0,38,18.8
8/18/2021,233,27.9,0.0,39,18.6
8/19/2021,225,28.6,0.0,37,15.5
8/20/2021,199,29.5,0.0,32,11.0
8/21/2021,183,29.6,0.9,47,10.6
8/22/2021,131,30.4,0.0,42,9.2
8/23/2021,208,29.9,0.0,38,11.0
8/24/2021,166,28.6,0.0,33,14.5
8/25/2021,200,28.1,0.0,32,17.8
8/26/2021,146,28.2,0.0,33,16.9
8/27/2021,119,28.9,0.0,32,12.3
8/28/2021,119,30.1,0.0,31,11.5
8/29/2021,64,30.3,0.3,45,12.4
8/30/2021,81,29.9,0.0,46,15.0
8/31/2021,119,31.7,0.0,39,9.9
9/1/2021,126,30.4,0.5,46,10.2
9/2/2021,109,29.8,0.0,39,16.7
9/3/2021,91,29.8,0.2,40,14.1
9/4/2021,71,29.5,0.3,39,10.9
9/5/2021,58,29.7,0.3,40,11.5
9/6/2021,116,29.6,0.7,50,11.4
9/7/2021,127,30.0,0.0,40,14.2
9/8/2021,99,28.1,0.3,43,16.6
9/9/2021,96,27.9,0.3,53,11.6
9/10/2021,86,29.3,0.0,43,13.0
9/11/2021,90,28.9,0.0,38,13.9
9/12/2021,53,28.3,0.0,33,16.2
9/13/2021,81,28.9,0.0,38,17.7
9/14/2021,94,29.5,0.0,36,13.4
9/15/2021,84,31.6,0.2,44,9.9
9/16/2021,57,31.7,0.1,38,12.0
9/17/2021,59,31.5,1.2,45,8.1
9/18/2021,36,27.2,6.1,67,14.8
9/19/2021,22,28.6,3.9,76,5.2
9/20/2021,51,29.5,1.4,70,7.3
9/21/2021,64,29.4,0.1,62,7.4
9/22/2021,56,29.6,0.5,53,12.7
9/23/2021,62,28.8,0.0,40,16.1
9/24/2021,51,29.2,0.0,38,16.7
9/25/2021,74,29.4,2.0,50,11.4
9/26/2021,47,29.4,0.0,43,12.9
9/27/2021,89,31.0,0.0,41,10.7
9/28/2021,76,31.4,0.1,36,11.4
9/29/2021,74,31.2,0.0,35,10.9
9/30/2021,79,31.3,0.0,45,13.2
10/1/2021,87,31.1,0.4,47,13.5
10/2/2021,75,28.8,0.2,56,9.7
10/3/2021,29,30.0,0.0,50,9.2
10/4/2021,71,31.2,0.2,51,8.1
10/5/2021,52,31.0,0.0,46,9.6
10/6/2021,81,31.1,0.0,36,7.6
10/7/2021,60,31.5,0.0,39,8.5
10/8/2021,69,30.4,1.2,51,9.0
10/9/2021,80,31.6,0.0,39,11.7
10/10/2021,61,31.1,0.0,39,17.1
10/11/2021,72,30.9,0.0,37,16.6
10/12/2021,103,29.6,0.0,40,15.6
10/13/2021,92,28.2,0.0,49,10.9
10/14/2021,110,30.4,0.0,38,13.4
10/15/2021,94,30.2,0.0,33,14.7
10/16/2021,71,30.4,0.0,32,15.0
10/17/2021,75,31.0,0.0,33,13.8
10/18/2021,95,31.2,0.0,34,13.3
10/19/2021,89,30.4,0.4,37,19.4
10/20/2021,62,28.8,0.1,44,21.7
10/21/2021,91,29.4,0.0,41,18.5
10/22/2021,142,30.2,0.4,38,15.1
10/23/2021,117,29.6,1.1,40,16.1
10/24/2021,61,30.3,0.0,34,14.4
10/25/2021,180,30.5,0.0,36,19.3
10/26/2021,189,29.9,0.0,40,18.6
10/27/2021,236,29.8,0.7,42,14.6
10/28/2021,170,30.1,0.0,36,15.4
10/29/2021,175,30.3,0.0,37,13.3
10/30/2021,115,29.9,0.1,36,16.7
10/31/2021,73,29.0,0.0,33,20.9
11/1/2021,183,28.6,0.0,34,23.2
11/2/2021,188,29.7,0.0,35,15.4
11/3/2021,138,30.0,0.1,35,14.2
11/4/2021,161,30.1,0.0,37,12.0
11/5/2021,143,30.1,0.0,37,12.9
11/6/2021,140,30.4,0.0,36,14.9
11/7/2021,83,30.9,0.0,42,9.9
11/8/2021,147,30.5,0.7,37,12.3
11/9/2021,108,28.0,1.9,58,11.8
11/10/2021,82,29.5,0.0,48,14.3
11/11/2021,112,29.5,0.0,34,19.3
11/12/2021,79,29.7,0.0,33,16.9
11/13/2021,56,29.3,0.0,36,20.5
11/14/2021,41,29.2,0.2,40,24.2
11/15/2021,96,29.1,0.0,40,20.3
11/16/2021,103,30.1,0.0,37,16.1
11/17/2021,54,29.8,0.0,39,16.6
11/18/2021,68,29.2,1.0,52,13.0
11/19/2021,58,29.8,0.0,39,11.4
11/20/2021,47,29.8,0.0,35,11.8
11/21/2021,32,29.8,0.0,35,13.3
11/22/2021,53,29.8,0.0,35,14.0
11/23/2021,79,29.8,0.0,35,9.5
11/24/2021,61,30.8,0.1,35,9.2
11/25/2021,26,31.6,0.0,34,7.9
11/26/2021,58,30.0,0.0,34,12.5
11/27/2021,54,29.6,0.2,41,18.4
11/28/2021,33,27.4,0.2,54,22.2
11/29/2021,43,28.5,0.0,54,20.2
11/30/2021,54,27.9,0.0,46,21.7
12/1/2021,29,28.0,0.0,44,17.3
12/2/2021,31,28.2,0.0,40,17.9
12/3/2021,27,28.3,0.0,43,19.0
12/4/2021,20,28.4,0.2,45,22.6
12/5/2021,12,28.3,0.0,43,20.8
12/6/2021,19,28.3,0.0,44,17.7
12/7/2021,28,28.4,0.0,41,14.5
12/8/2021,31,29.4,0.0,42,13.8
12/9/2021,21,29.0,0.0,40,17.7
12/10/2021,21,28.0,0.0,37,21.9
12/11/2021,26,26.4,0.0,33,21.5
12/12/2021,30,25.8,0.0,30,23.9
12/13/2021,17,27.3,0.0,35,23.3
12/14/2021,21,28.9,0.0,41,18.7
12/15/2021,22,29.2,0.0,43,18.9
12/16/2021,24,28.4,0.0,40,19.7
12/17/2021,22,28.6,0.0,40,15.8
12/18/2021,17,29.4,0.0,38,15.1
12/19/2021,13,30.6,0.0,43,13.4
12/20/2021,35,30.1,0.0,46,15.4
12/21/2021,34,29.6,0.4,46,18.4
12/22/2021,39,29.6,0.2,48,16.6
12/23/2021,39,29.8,0.1,44,17.8
12/24/2021,31,30.1,0.0,44,14.8
12/25/2021,14,29.8,2.0,48,14.2
12/26/2021,37,30.0,0.0,45,15.9
12/27/2021,39,28.8,0.0,42,19.2
12/28/2021,23,28.2,0.1,38,15.0
12/29/2021,37,28.5,0.0,36,12.0
12/30/2021,20,29.2,0.0,35,12.8
12/31/2021,22,28.8,0.0,28,13.6
1/1/2022,9,28.8,0.0,30,14.6
1/2/2022,12,28.5,0.0,32,13.0
1/3/2022,11,28.1,0.0,32,14.2
1/4/2022,27,27.9,0.0,32,9.8
1/5/2022,11,28.3,0.0,31,9.4
1/6/2022,14,28.0,0.3,36,14.1
1/7/2022,11,29.1,0.0,38,15.9
1/8/2022,15,28.6,0.0,33,18.8
1/9/2022,18,28.1,0.0,33,15.1
1/10/2022,23,28.5,0.0,34,19.4
1/11/2022,17,28.6,0.0,31,23.4
1/12/2022,7,27.8,0.0,30,24.1
1/13/2022,15,27.9,0.0,27,18.8
1/14/2022,12,29.2,0.0,27,10.6
1/15/2022,14,30.8,0.0,27,8.6
1/16/2022,7,31.0,0.0,34,12.6
1/17/2022,1,25.9,18.7,68,10.2
1/18/2022,0,24.9,13.9,86,6.0
1/19/2022,10,26.4,0.0,75,7.3
1/20/2022,12,25.8,0.4,65,9.9
1/21/2022,24,26.1,0.0,53,7.0
1/22/2022,13,26.6,0.0,40,14.7
1/23/2022,17,26.1,0.0,32,14.8
1/24/2022,9,26.9,0.0,28,13.1
1/25/2022,10,27.4,0.0,26,15.9
1/26/2022,9,26.3,0.0,26,20.0
1/27/2022,16,27.1,0.0,28,14.5
1/28/2022,3,28.0,0.0,27,11.5
1/29/2022,12,27.6,0.0,25,12.3
1/30/2022,4,28.3,0.0,33,13.4
1/31/2022,16,28.6,0.0,31,10.1
2/1/2022,11,29.2,0.0,34,9.5
2/2/2022,8,29.8,0.0,26,11.7
2/3/2022,10,30.2,0.1,33,11.8
2/4/2022,7,29.0,0.0,32,13.2
2/5/2022,14,28.6,0.0,28,10.1
2/6/2022,7,26.7,0.0,19,12.1
2/7/2022,15,27.9,0.0,20,8.5
2/8/2022,16,28.3,0.0,28,13.6
2/9/2022,19,28.2,0.0,27,15.2
2/10/2022,9,28.7,0.0,25,14.0
2/11/2022,5,28.6,0.0,26,15.0
2/12/2022,16,29.5,0.0,29,13.9
2/13/2022,13,29.1,0.0,29,11.1
2/14/2022,13,29.5,0.0,31,10.3
2/15/2022,21,30.4,0.0,28,9.7
2/16/2022,13,30.4,0.0,29,9.6
2/17/2022,10,31.1,0.0,32,7.0
2/18/2022,12,30.7,0.0,31,10.3
2/19/2022,14,31.3,0.0,31,12.1
2/20/2022,6,30.9,0.0,29,8.7
2/21/2022,14,27.5,0.2,23,11.1
2/22/2022,3,28.3,0.0,26,10.2
2/23/2022,10,30.0,0.0,26,9.5
2/24/2022,9,30.2,0.5,33,12.7
2/25/2022,10,31.0,0.2,37,14.6
2/26/2022,7,30.2,0.2,39,10.8
2/27/2022,6,31.4,0.1,34,10.9
2/28/2022,4,30.8,0.1,32,15.8
3/1/2022,6,30.4,0.1,34,19.0
3/2/2022,5,29.4,0.0,30,22.5
3/3/2022,8,28.7,0.0,27,16.9
3/4/2022,5,29.1,0.0,25,17.7
3/5/2022,3,28.8,0.0,25,17.3
3/6/2022,6,29.5,0.0,28,16.5
3/7/2022,3,29.9,0.0,29,20.1
3/8/2022,7,30.5,0.0,30,14.8
3/9/2022,12,30.7,0.0,30,15.9
3/10/2022,5,30.1,0.0,31,19.9
3/11/2022,6,30.4,0.0,29,17.1
3/12/2022,6,29.8,0.0,28,17.7
3/13/2022,6,30.5,0.0,28,11.7
3/14/2022,3,31.0,0.0,29,11.3
3/15/2022,3,31.5,0.3,32,11.3
3/16/2022,4,31.6,0.0,32,10.2
3/17/2022,4,30.6,0.0,28,14.4
3/18/2022,3,31.2,0.2,31,10.1
3/19/2022,2,31.0,0.0,35,13.4
3/20/2022,2,31.5,0.0,32,14.5
3/21/2022,6,31.5,0.1,32,16.0
3/22/2022,8,31.6,0.0,33,14.0
3/23/2022,2,30.6,0.2,42,12.7
3/24/2022,5,29.8,2.4,49,9.0
3/25/2022,4,30.6,2.4,52,12.3
3/26/2022,4,30.8,8.3,53,11.4
3/27/2022,5,30.2,0.3,50,12.7
3/28/2022,7,31.1,1.1,49,9.6
3/29/2022,5,30.2,0.0,45,14.4
3/30/2022,3,30.0,0.0,40,16.1
3/31/2022,1,30.1,0.0,38,18.5
4/1/2022,1,30.1,0.0,37,21.2
4/2/2022,3,29.5,0.0,38,28.2
4/3/2022,2,29.5,0.0,34,24.3
4/4/2022,0,30.3,0.0,31,20.6
4/5/2022,1,31.0,0.0,30,15.5
4/6/2022,1,30.9,0.0,33,21.5
4/7/2022,0,30.3,0.0,32,19.3
4/8/2022,2,30.2,0.0,33,18.9
4/9/2022,1,29.6,0.0,34,23.7
4/10/2022,3,30.4,0.0,35,25.7
4/11/2022,0,29.5,6.2,49,18.4
4/12/2022,2,29.8,0.0,63,7.4
4/13/2022,0,31.0,0.0,46,11.4
4/14/2022,2,31.9,0.0,40,15.3
4/15/2022,0,29.7,24.0,58,13.0
4/16/2022,1,27.2,21.8,82,6.0
4/17/2022,0,29.9,0.5,76,6.8
4/18/2022,0,30.3,0.2,70,11.5
4/19/2022,9,31.1,0.0,55,12.8
4/20/2022,4,28.8,21.4,71,9.6
4/21/2022,3,28.5,4.2,73,9.4
4/23/2022,3,29.0,0.7,76,8.8
4/24/2022,1,29.5,2.9,70,9.5
4/25/2022,3,27.5,22.6,76,9.7
4/26/2022,6,29.3,0.4,77,7.6
4/27/2022,1,29.1,1.0,74,9.7
4/28/2022,3,27.4,10.4,80,10.5
4/29/2022,1,27.4,1.3,80,10.8
4/30/2022,3,28.2,0.2,76,8.0
5/1/2022,0,28.5,0.4,75,9.1
5/2/2022,1,27.9,8.6,75,10.9
5/3/2022,3,28.3,0.7,74,11.3
5/4/2022,0,28.8,8.3,61,12.2
5/5/2022,0,29.9,0.0,50,13.0
5/6/2022,7,31.0,0.0,42,12.0
5/7/2022,1,31.1,0.0,42,12.5
5/8/2022,4,31.8,0.0,39,12.2
5/9/2022,10,31.7,0.0,41,9.9
5/10/2022,9,31.3,0.0,38,13.0
5/11/2022,9,31.3,0.0,38,16.5
5/12/2022,15,30.6,0.0,40,16.5
5/13/2022,27,30.3,0.0,36,15.2
5/14/2022,38,30.2,0.0,36,18.2
5/15/2022,27,29.3,0.0,38,18.3
5/16/2022,83,29.4,0.0,39,15.6
5/17/2022,96,29.4,0.3,44,15.8
5/18/2022,84,29.9,0.0,39,15.7
5/19/2022,156,30.0,0.0,37,16.0
5/20/2022,189,30.0,0.0,36,17.3
5/21/2022,170,30.3,0.0,37,16.1
5/22/2022,163,31.5,0.4,39,6.9
5/23/2022,260,31.7,0.0,39,10.6
5/24/2022,202,30.7,0.0,41,12.3
5/25/2022,211,27.5,0.1,60,14.4
5/26/2022,212,30.5,0.3,51,7.0
5/27/2022,184,29.6,4.2,57,8.7
5/28/2022,171,29.0,1.4,66,7.4
5/29/2022,70,26.2,4.5,77,7.4
5/30/2022,169,27.6,0.1,68,9.9
5/31/2022,165,27.9,0.0,53,13.4
6/1/2022,59,28.3,0.0,45,14.3
6/2/2022,113,27.6,0.0,43,20.5
6/3/2022,96,27.3,0.0,43,17.3
6/4/2022,90,27.1,0.0,41,17.1
6/5/2022,41,28.4,0.0,38,11.3
6/6/2022,49,29.1,0.0,36,12.3
6/7/2022,56,26.8,9.3,54,14.0
6/8/2022,49,26.4,7.9,77,6.0
6/9/2022,42,27.7,1.5,71,6.4
6/10/2022,77,27.7,0.1,69,6.1
6/11/2022,60,28.4,0.0,58,9.0
6/12/2022,59,27.9,0.0,46,14.1
6/13/2022,138,28.3,0.2,43,11.3
6/14/2022,55,28.8,0.0,40,10.0
6/15/2022,50,29.1,0.0,36,10.2
6/16/2022,57,29.0,0.0,37,13.3
6/17/2022,50,28.3,0.0,37,17.8
6/18/2022,64,28.4,0.0,39,15.1
6/19/2022,99,29.0,0.7,39,11.2
6/20/2022,158,28.4,3.0,59,5.5
6/21/2022,144,29.1,0.0,50,8.3
6/22/2022,127,29.2,0.0,42,10.3
6/23/2022,181,29.5,0.1,40,14.2
6/24/2022,172,28.1,0.0,48,14.0
6/25/2022,269,28.4,0.0,42,14.0
6/26/2022,244,28.5,0.0,38,13.3
6/27/2022,342,27.0,0.0,37,19.1
6/28/2022,449,26.8,0.0,36,18.9
6/29/2022,401,27.8,0.0,36,13.8
6/30/2022,416,28.1,0.0,41,14.0
7/1/2022,438,27.5,0.0,39,15.2
7/2/2022,386,26.9,0.0,38,19.1
7/3/2022,241,28.0,0.0,38,13.4
7/4/2022,353,28.4,0.0,38,12.9
7/5/2022,363,28.4,0.0,35,12.5
7/6/2022,270,29.5,0.0,37,11.1
7/7/2022,273,28.9,1.0,43,11.0
7/8/2022,232,27.5,2.8,58,8.5
7/9/2022,212,27.1,0.1,45,14.6
7/10/2022,147,27.2,0.1,46,9.8
7/11/2022,181,27.2,0.3,43,15.3
7/12/2022,286,25.9,0.0,43,22.7
7/13/2022,280,27.0,0.0,38,18.7
7/14/2022,266,28.5,0.0,34,12.5
7/15/2022,232,29.4,0.0,40,11.9
7/16/2022,214,28.8,0.7,54,8.0
